1,1,2023-09-01 00:00:00.000000 +00:00,1
2,1,2023-09-01 00:00:01.000000 +00:00,2
3,1,2023-09-01 00:00:02.000000 +00:00,3
4,2,2023-09-01 00:01:00.000000 +00:00,1
5,2,2023-09-01 00:01:01.000000 +00:00,2
6,2,2023-09-01 00:01:02.000000 +00:00,3
7,3,2023-09-01 00:02:00.000000 +00:00,1
8,3,2023-09-01 00:02:01.000000 +00:00,2
9,3,2023-09-01 00:02:02.000000 +00:00,3
10,4,2023-09-01 00:03:00.000000 +00:00,1
11,4,2023-09-01 00:03:01.000000 +00:00,2
12,4,2023-09-01 00:03:02.000000 +00:00,3
13,5,2023-09-01 00:04:00.000000 +00:00,1
14,5,2023-09-01 00:04:01.000000 +00:00,2
15,5,2023-09-01 00:04:02.000000 +00:00,3
16,6,2023-09-01 00:05:00.000000 +00:00,1
17,6,2023-09-01 00:05:01.000000 +00:00,2
18,6,2023-09-01 00:05:02.000000 +00:00,3
19,7,2023-09-01 00:06:00.000000 +00:00,1
20,7,2023-09-01 00:06:01.000000 +00:00,2
21,7,2023-09-01 00:06:02.000000 +00:00,3
22,8,2023-09-01 00:07:00.000000 +00:00,1
23,8,2023-09-01 00:07:01.000000 +00:00,2
24,8,2023-09-01 00:07:02.000000 +00:00,3
25,9,2023-09-01 00:08:00.000000 +00:00,1
26,9,2023-09-01 00:08:01.000000 +00:00,2
27,9,2023-09-01 00:08:02.000000 +00:00,3
28,10,2023-09-01 00:09:00.000000 +00:00,1
29,10,2023-09-01 00:09:01.000000 +00:00,2
30,10,2023-09-01 00:09:02.000000 +00:00,3
31,11,2023-09-01 00:10:00.000000 +00:00,1
32,11,2023-09-01 00:10:01.000000 +00:00,2
33,11,2023-09-01 00:10:02.000000 +00:00,3
34,12,2023-09-01 00:11:00.000000 +00:00,1
35,12,2023-09-01 00:11:01.000000 +00:00,2
36,12,2023-09-01 00:11:02.000000 +00:00,3
37,13,2023-09-01 00:12:00.000000 +00:00,1
38,13,2023-09-01 00:12:01.000000 +00:00,2
39,13,2023-09-01 00:12:02.000000 +00:00,3
40,14,2023-09-01 00:13:00.000000 +00:00,1
41,14,2023-09-01 00:13:01.000000 +00:00,2
42,14,2023-09-01 00:13:02.000000 +00:00,3
43,15,2023-09-01 00:14:00.000000 +00:00,1
44,15,2023-09-01 00:14:01.000000 +00:00,2
45,15,2023-09-01 00:14:02.000000 +00:00,3
46,16,2023-09-01 00:15:00.000000 +00:00,1
47,16,2023-09-01 00:15:01.000000 +00:00,2
48,16,2023-09-01 00:15:02.000000 +00:00,3
49,17,2023-09-01 00:16:00.000000 +00:00,1
50,17,2023-09-01 00:16:01.000000 +00:00,2
51,17,2023-09-01 00:16:02.000000 +00:00,3
52,18,2023-09-01 00:17:00.000000 +00:00,1
53,18,2023-09-01 00:17:01.000000 +00:00,2
54,18,2023-09-01 00:17:02.000000 +00:00,3
55,19,2023-09-01 00:18:00.000000 +00:00,1
56,19,2023-09-01 00:18:01.000000 +00:00,2
57,19,2023-09-01 00:18:02.000000 +00:00,3
58,20,2023-09-01 00:19:00.000000 +00:00,1
59,20,2023-09-01 00:19:01.000000 +00:00,2
60,20,2023-09-01 00:19:02.000000 +00:00,3
61,21,2023-09-01 00:20:00.000000 +00:00,1
62,21,2023-09-01 00:20:01.000000 +00:00,2
63,21,2023-09-01 00:20:02.000000 +00:00,3
64,22,2023-09-01 00:21:00.000000 +00:00,1
65,22,2023-09-01 00:21:01.000000 +00:00,2
66,22,2023-09-01 00:21:02.000000 +00:00,3
67,23,2023-09-01 00:22:00.000000 +00:00,1
68,23,2023-09-01 00:22:01.000000 +00:00,2
69,23,2023-09-01 00:22:02.000000 +00:00,3
70,24,2023-09-01 00:23:00.000000 +00:00,1
71,24,2023-09-01 00:23:01.000000 +00:00,2
72,24,2023-09-01 00:23:02.000000 +00:00,3
73,25,2023-09-01 00:24:00.000000 +00:00,1
74,25,2023-09-01 00:24:01.000000 +00:00,2
75,25,2023-09-01 00:24:02.000000 +00:00,3
76,26,2023-09-01 00:25:00.000000 +00:00,1
77,26,2023-09-01 00:25:01.000000 +00:00,2
78,26,2023-09-01 00:25:02.000000 +00:00,3
79,27,2023-09-01 00:26:00.000000 +00:00,1
80,27,2023-09-01 00:26:01.000000 +00:00,2
81,27,2023-09-01 00:26:02.000000 +00:00,3
82,28,2023-09-01 00:27:00.000000 +00:00,1
83,28,2023-09-01 00:27:01.000000 +00:00,2
84,28,2023-09-01 00:27:02.000000 +00:00,3
85,29,2023-09-01 00:28:00.000000 +00:00,1
86,29,2023-09-01 00:28:01.000000 +00:00,2
87,29,2023-09-01 00:28:02.000000 +00:00,3
88,30,2023-09-01 00:29:00.000000 +00:00,1
89,30,2023-09-01 00:29:01.000000 +00:00,2
90,30,2023-09-01 00:29:02.000000 +00:00,3
91,31,2023-09-03 00:00:00.000000 +00:00,1
92,31,2023-09-03 00:00:01.000000 +00:00,2
93,31,2023-09-03 00:00:02.000000 +00:00,3
94,31,2023-09-03 00:00:03.000000 +00:00,4
95,31,2023-09-03 00:00:04.000000 +00:00,5
96,31,2023-09-03 00:00:05.000000 +00:00,6
97,31,2023-09-03 00:00:06.000000 +00:00,7
98,32,2023-09-03 00:01:00.000000 +00:00,1
99,32,2023-09-03 00:01:01.000000 +00:00,2
100,32,2023-09-03 00:01:02.000000 +00:00,3
101,32,2023-09-03 00:01:03.000000 +00:00,4
102,32,2023-09-03 00:01:04.000000 +00:00,5
103,32,2023-09-03 00:01:05.000000 +00:00,6
104,32,2023-09-03 00:01:06.000000 +00:00,7
105,33,2023-09-03 00:02:00.000000 +00:00,1
106,33,2023-09-03 00:02:01.000000 +00:00,2
107,33,2023-09-03 00:02:02.000000 +00:00,3
108,33,2023-09-03 00:02:03.000000 +00:00,4
109,33,2023-09-03 00:02:04.000000 +00:00,5
110,33,2023-09-03 00:02:05.000000 +00:00,6
111,33,2023-09-03 00:02:06.000000 +00:00,7
112,34,2023-09-03 00:03:00.000000 +00:00,1
113,34,2023-09-03 00:03:01.000000 +00:00,2
114,34,2023-09-03 00:03:02.000000 +00:00,3
115,34,2023-09-03 00:03:03.000000 +00:00,4
116,34,2023-09-03 00:03:04.000000 +00:00,5
117,34,2023-09-03 00:03:05.000000 +00:00,6
118,34,2023-09-03 00:03:06.000000 +00:00,7
119,35,2023-09-03 00:04:00.000000 +00:00,1
120,35,2023-09-03 00:04:01.000000 +00:00,2
121,35,2023-09-03 00:04:02.000000 +00:00,3
